PNUT_time,PNUT_alt,PNUT_velocity,PNUT_temp,PNUT_voltge
0.00,0,0,50.22,4.17
0.05,1,20,50.22,4.17
0.10,2,-4,50.22,4.17
0.15,0,4,50.22,4.17
0.20,1,0,50.22,4.17
0.25,1,-1,50.22,4.17
0.30,1,-1,50.22,4.17
0.35,0,-1,50.22,4.17
0.40,1,-0,50.22,4.17
0.45,0,1,50.22,4.17
0.50,1,3,50.22,4.17
0.55,1,6,50.22,4.17
0.60,1,11,50.22,4.17
0.65,1,18,50.22,4.17
0.70,1,28,50.22,4.17
0.75,6,40,50.22,4.17
0.80,7,54,50.22,4.17
0.85,10,72,50.22,4.17
0.90,13,94,50.22,4.17
0.95,20,121,50.22,4.17
1.00,26,150,50.22,4.17
1.05,35,175,50.22,4.17
1.10,47,193,50.22,4.17
1.15,61,201,50.22,4.17
1.20,74,201,50.22,4.17
1.25,81,196,50.22,4.17
1.30,84,194,50.22,4.17
1.35,93,194,50.22,4.17
1.40,110,197,50.22,4.17
1.45,123,203,50.22,4.17
1.50,126,210,50.22,4.17
1.55,134,216,50.22,4.17
1.60,151,223,50.22,4.17
1.65,163,233,50.22,4.17
1.70,173,273,50.22,4.17
1.75,186,363,50.22,4.17
1.80,198,512,50.22,4.17
1.85,210,712,50.22,4.17
1.90,229,900,50.22,4.17
1.95,366,1007,50.22,4.17
2.00,455,992,50.22,4.17
2.05,500,857,50.22,4.17
2.10,494,635,50.22,4.17
2.15,509,409,50.22,4.17
2.20,515,233,50.22,4.17
2.25,514,123,50.22,4.17
2.30,516,76,50.23,4.17
2.35,517,62,50.22,4.17
2.40,523,57,50.22,4.17
2.45,531,47,50.22,4.17
2.50,526,36,50.22,4.17
2.55,531,19,50.22,4.17
2.60,532,2,50.22,4.17
2.65,528,-8,50.22,4.17
2.70,524,-12,50.23,4.17
2.75,524,-7,50.22,4.17
2.80,525,5,50.22,4.17
2.85,525,16,50.23,4.17
2.90,532,27,50.22,4.17
2.95,528,36,50.23,4.17
3.00,532,39,50.22,4.17
3.05,535,37,50.22,4.17
3.10,538,33,50.22,4.17
3.15,540,24,50.22,4.17
3.20,540,14,50.22,4.17
3.25,539,7,50.23,4.17
3.30,536,4,50.22,4.17
3.35,538,6,50.22,4.17
3.40,539,12,50.23,4.17
3.45,540,21,50.22,4.17
3.50,540,27,50.22,4.17
3.55,544,32,50.23,4.17
3.60,545,33,50.22,4.17
3.65,548,32,50.22,4.17
3.70,549,31,50.22,4.17
3.75,549,28,50.22,4.17
3.80,551,26,50.23,4.17
3.85,552,25,50.22,4.17
3.90,554,24,50.23,4.17
3.95,556,22,50.23,4.17
4.00,555,22,50.22,4.17
4.05,556,23,50.22,4.17
4.10,558,24,50.22,4.17
4.15,559,26,50.22,4.17
4.20,560,27,50.22,4.17
4.25,563,27,50.22,4.17
4.30,564,27,50.22,4.17
4.35,564,26,50.23,4.17
4.40,566,26,50.23,4.17
4.45,567,26,50.22,4.17
4.50,569,26,50.23,4.17
4.55,570,26,50.22,4.17
4.60,571,26,50.23,4.17
4.65,572,25,50.22,4.17
4.70,575,23,50.23,4.17
4.75,575,20,50.22,4.17
4.80,576,18,50.23,4.17
4.85,576,15,50.22,4.17
4.90,577,15,50.23,4.17
4.95,577,15,50.22,4.17
5.00,579,15,50.22,4.17
5.05,579,16,50.23,4.17
5.10,580,17,50.22,4.17
5.15,582,19,50.22,4.17
5.20,581,21,50.23,4.17
5.25,582,24,50.23,4.17
5.30,583,24,50.22,4.17
5.35,590,23,50.22,4.17
5.40,587,21,50.22,4.17
5.45,587,17,50.22,4.17
5.50,588,11,50.23,4.17
5.55,589,6,50.23,4.17
5.60,590,-2,50.23,4.17
5.65,590,-10,50.22,4.17
5.70,588,-17,50.23,4.17
5.75,585,-22,50.22,4.17
5.80,584,-24,50.22,4.17
5.85,583,-23,50.23,4.17
5.90,582,-20,50.22,4.17
5.95,582,-19,50.22,4.17
6.00,582,-17,50.22,4.17
6.05,579,-15,50.22,4.17
6.10,579,-14,50.23,4.17
6.15,578,-10,50.22,4.17
6.20,577,-8,50.22,4.17
6.25,579,-10,50.22,4.17
6.30,579,-13,50.22,4.17
6.35,578,-19,50.23,4.17
6.40,577,-25,50.22,4.17
6.45,575,-25,50.23,4.17
6.50,573,-24,50.22,4.17
6.55,572,-23,50.23,4.17
6.60,572,-20,50.22,4.17
6.65,572,-21,50.22,4.17
6.70,571,-21,50.23,4.17
6.75,571,-21,50.22,4.17
6.80,568,-21,50.22,4.17
6.85,567,-21,50.22,4.17
6.90,565,-21,50.22,4.17
6.95,564,-21,50.22,4.17
7.00,564,-21,50.22,4.17
7.05,563,-21,50.22,4.17
7.10,563,-22,50.22,4.17
7.15,562,-22,50.22,4.17
7.20,559,-23,50.22,4.17
7.25,556,-23,50.22,4.17
7.30,554,-23,50.22,4.17
7.35,553,-23,50.22,4.17
7.40,552,-23,50.22,4.17
7.45,552,-23,50.22,4.17
7.50,551,-23,50.22,4.17
7.55,550,-24,50.22,4.17
7.60,547,-24,50.23,4.17
7.65,546,-24,50.22,4.17
7.70,545,-24,50.22,4.17
7.75,543,-24,50.22,4.17
7.80,543,-24,50.22,4.17
7.85,542,-24,50.22,4.17
7.90,541,-24,50.22,4.17
7.95,541,-24,50.22,4.17
8.00,538,-24,50.22,4.17
8.05,537,-24,50.22,4.17
8.10,535,-24,50.22,4.17
8.15,533,-24,50.22,4.17
8.20,534,-23,50.22,4.17
8.25,533,-23,50.22,4.17
8.30,531,-22,50.22,4.17
8.35,532,-22,50.22,4.17
8.40,529,-22,50.22,4.17
8.45,528,-22,50.22,4.17
8.50,527,-22,50.22,4.17
8.55,526,-22,50.22,4.17
8.60,524,-21,50.22,4.17
8.65,523,-21,50.22,4.17
8.70,522,-21,50.22,4.17
8.75,521,-21,50.22,4.17
8.80,520,-21,50.22,4.17
8.85,519,-21,50.22,4.17
8.90,518,-21,50.22,4.17
8.95,517,-21,50.22,4.17
9.00,517,-20,50.22,4.17
9.05,515,-20,50.22,4.17
9.10,515,-20,50.22,4.17
9.15,513,-19,50.22,4.17
9.20,512,-19,50.22,4.17
9.25,512,-19,50.22,4.17
9.30,510,-19,50.22,4.17
9.35,509,-19,50.22,4.17
9.40,508,-19,50.22,4.17
9.45,509,-19,50.22,4.17
9.50,507,-19,50.22,4.17
9.55,506,-18,50.22,4.17
9.60,505,-18,50.22,4.17
9.65,505,-18,50.22,4.17
9.70,503,-18,50.22,4.17
9.75,502,-18,50.22,4.17
9.80,501,-18,50.22,4.17
9.85,501,-18,50.22,4.17
9.90,500,-18,50.22,4.17
9.95,499,-18,50.22,4.17
10.00,498,-18,50.22,4.17
10.05,497,-18,50.22,4.17
10.10,496,-18,50.22,4.17
10.15,495,-18,50.22,4.17
10.20,495,-18,50.22,4.17
10.25,495,-18,50.22,4.17
10.30,492,-17,50.23,4.17
10.35,493,-17,50.22,4.17
10.40,491,-17,50.22,4.17
10.45,490,-18,50.22,4.17
10.50,490,-18,50.22,4.17
10.55,488,-18,50.22,4.17
10.60,488,-18,50.22,4.17
10.65,488,-18,50.22,4.17
10.70,486,-18,50.22,4.17
10.75,485,-18,50.22,4.17
10.80,483,-17,50.22,4.17
10.85,483,-17,50.22,4.17
10.90,481,-17,50.22,4.17
10.95,482,-17,50.22,4.17
11.00,481,-17,50.22,4.17
11.05,478,-17,50.23,4.17
11.10,478,-18,50.22,4.17
11.15,478,-18,50.22,4.17
11.20,477,-18,50.22,4.17
11.25,477,-18,50.22,4.17
11.30,475,-18,50.22,4.17
11.35,475,-18,50.22,4.17
11.40,473,-17,50.22,4.17
11.45,473,-17,50.22,4.17
11.50,472,-17,50.22,4.17
11.55,471,-17,50.22,4.17
11.60,470,-17,50.22,4.17
11.65,469,-17,50.22,4.17
11.70,468,-17,50.22,4.17
11.75,467,-17,50.22,4.17
11.80,467,-17,50.22,4.17
11.85,466,-17,50.22,4.17
11.90,465,-17,50.22,4.17
11.95,464,-17,50.22,4.17
12.00,463,-17,50.22,4.17
12.05,462,-17,50.22,4.17
12.10,461,-17,50.22,4.17
12.15,460,-17,50.22,4.17
12.20,459,-17,50.22,4.17
12.25,459,-18,50.22,4.17
12.30,458,-18,50.22,4.17
12.35,457,-18,50.22,4.17
12.40,456,-18,50.22,4.17
12.45,456,-18,50.22,4.17
12.50,456,-18,50.22,4.17
12.55,454,-18,50.22,4.17
12.60,452,-18,50.22,4.17
12.65,453,-18,50.22,4.17
12.70,451,-18,50.22,4.17
12.75,449,-18,50.22,4.17
12.80,449,-18,50.22,4.17
12.85,448,-18,50.22,4.17
12.90,447,-18,50.22,4.17
12.95,447,-18,50.22,4.17
13.00,445,-18,50.22,4.17
13.05,445,-18,50.22,4.17
13.10,444,-18,50.22,4.17
13.15,443,-18,50.22,4.17
13.20,442,-18,50.22,4.17
13.25,441,-18,50.22,4.17
13.30,440,-18,50.22,4.17
13.35,438,-18,50.22,4.17
13.40,437,-19,50.22,4.17
13.45,437,-19,50.22,4.17
13.50,435,-19,50.22,4.17
13.55,434,-19,50.22,4.17
13.60,434,-18,50.22,4.17
13.65,432,-18,50.22,4.17
13.70,431,-18,50.22,4.17
13.75,431,-18,50.22,4.17
13.80,431,-18,50.20,4.17
13.85,429,-18,50.22,4.17
13.90,429,-18,50.22,4.17
13.95,429,-18,50.22,4.17
14.00,427,-18,50.22,4.17
14.05,426,-18,50.22,4.17
14.10,426,-18,50.22,4.17
14.15,425,-18,50.22,4.17
14.20,423,-18,50.22,4.17
14.25,423,-18,50.22,4.17
14.30,421,-17,50.22,4.17
14.35,420,-17,50.22,4.17
14.40,419,-17,50.22,4.17
14.45,419,-17,50.22,4.17
14.50,418,-17,50.22,4.17
14.55,417,-17,50.22,4.17
14.60,416,-17,50.22,4.17
14.65,416,-17,50.22,4.17
14.70,414,-17,50.22,4.17
14.75,414,-18,50.20,4.17
14.80,413,-18,50.22,4.17
14.85,411,-18,50.22,4.17
14.90,412,-18,50.22,4.17
14.95,410,-18,50.22,4.17
15.00,410,-18,50.22,4.17
15.05,409,-18,50.22,4.17
15.10,408,-18,50.22,4.17
15.15,409,-18,50.22,4.17
15.20,406,-18,50.20,4.17
15.25,405,-18,50.22,4.17
15.30,405,-18,50.22,4.17
15.35,404,-18,50.20,4.17
15.40,403,-18,50.22,4.17
15.45,402,-18,50.20,4.17
15.50,400,-18,50.22,4.17
15.55,400,-18,50.22,4.17
15.60,399,-18,50.22,4.17
15.65,398,-18,50.22,4.17
15.70,397,-18,50.22,4.17
15.75,395,-18,50.22,4.17
15.80,395,-18,50.20,4.17
15.85,394,-18,50.22,4.17
15.90,394,-18,50.22,4.17
15.95,393,-18,50.22,4.17
16.00,391,-18,50.22,4.17
16.05,390,-18,50.22,4.17
16.10,388,-18,50.22,4.17
16.15,388,-18,50.22,4.17
16.20,388,-18,50.22,4.17
16.25,387,-18,50.20,4.17
16.30,386,-18,50.22,4.17
16.35,385,-18,50.22,4.17
16.40,385,-18,50.20,4.17
16.45,383,-18,50.22,4.17
16.50,382,-18,50.22,4.17
16.55,382,-18,50.20,4.17
16.60,380,-18,50.22,4.17
16.65,380,-18,50.22,4.17
16.70,378,-18,50.22,4.17
16.75,378,-18,50.20,4.17
16.80,377,-18,50.20,4.17
16.85,376,-18,50.22,4.17
16.90,375,-19,50.20,4.17
16.95,373,-19,50.22,4.17
17.00,374,-18,50.20,4.17
17.05,373,-18,50.20,4.17
17.10,372,-18,50.20,4.17
17.15,370,-18,50.22,4.17
17.20,370,-18,50.20,4.17
17.25,370,-18,50.20,4.17
17.30,368,-19,50.22,4.17
17.35,368,-19,50.20,4.17
17.40,366,-19,50.20,4.17
17.45,365,-19,50.22,4.17
17.50,364,-19,50.20,4.17
17.55,363,-19,50.22,4.17
17.60,363,-19,50.20,4.17
17.65,362,-19,50.22,4.17
17.70,360,-19,50.20,4.17
17.75,359,-19,50.22,4.17
17.80,358,-19,50.20,4.17
17.85,357,-19,50.22,4.17
17.90,357,-19,50.20,4.17
17.95,355,-19,50.22,4.17
18.00,354,-19,50.22,4.17
18.05,353,-19,50.22,4.17
18.10,352,-19,50.22,4.17
18.15,352,-19,50.20,4.17
18.20,352,-19,50.22,4.17
18.25,350,-19,50.22,4.17
18.30,348,-19,50.20,4.17
18.35,348,-19,50.20,4.17
18.40,347,-19,50.22,4.17
18.45,346,-19,50.20,4.17
18.50,345,-18,50.20,4.17
18.55,344,-18,50.20,4.17
18.60,343,-18,50.20,4.17
18.65,342,-18,50.20,4.17
18.70,341,-18,50.20,4.17
18.75,340,-18,50.22,4.17
18.80,340,-18,50.20,4.17
18.85,339,-18,50.20,4.17
18.90,338,-18,50.20,4.17
18.95,336,-18,50.20,4.17
19.00,336,-18,50.20,4.17
19.05,335,-18,50.20,4.17
19.10,334,-18,50.20,4.17
19.15,333,-19,50.20,4.17
19.20,332,-18,50.20,4.17
19.25,330,-18,50.20,4.17
19.30,331,-18,50.20,4.17
19.35,330,-18,50.20,4.17
19.40,329,-18,50.20,4.17
19.45,328,-18,50.20,4.17
19.50,328,-18,50.20,4.17
19.55,326,-18,50.20,4.17
19.60,325,-18,50.20,4.17
19.65,325,-18,50.20,4.17
19.70,324,-18,50.20,4.17
19.75,323,-18,50.20,4.17
19.80,322,-18,50.20,4.17
19.85,321,-18,50.20,4.17
19.90,320,-18,50.20,4.17
19.95,318,-18,50.20,4.17
20.00,318,-18,50.20,4.17
20.05,316,-18,50.20,4.17
20.10,315,-18,50.20,4.17
20.15,315,-18,50.22,4.17
20.20,315,-19,50.20,4.17
20.25,313,-19,50.20,4.17
20.30,312,-19,50.20,4.17
20.35,310,-19,50.20,4.17
20.40,310,-20,50.20,4.17
20.45,310,-20,50.20,4.17
20.50,309,-20,50.20,4.17
20.55,307,-20,50.20,4.17
20.60,307,-20,50.20,4.17
20.65,305,-20,50.20,4.17
20.70,304,-20,50.20,4.17
20.75,305,-20,50.20,4.17
20.80,303,-20,50.20,4.17
20.85,303,-20,50.20,4.17
20.90,301,-20,50.20,4.17
20.95,299,-21,50.20,4.17
21.00,300,-21,50.20,4.17
21.05,298,-21,50.20,4.17
21.10,297,-21,50.20,4.17
21.15,295,-21,50.20,4.17
21.20,295,-21,50.20,4.17
21.25,294,-21,50.20,4.17
21.30,291,-22,50.20,4.17
21.35,290,-22,50.20,4.17
21.40,290,-22,50.20,4.17
21.45,289,-22,50.20,4.17
21.50,288,-22,50.20,4.17
21.55,287,-22,50.20,4.17
21.60,286,-22,50.20,4.17
21.65,285,-22,50.20,4.17
21.70,283,-22,50.20,4.17
21.75,282,-22,50.20,4.17
21.80,281,-22,50.20,4.17
21.85,281,-22,50.20,4.17
21.90,278,-22,50.20,4.17
21.95,277,-22,50.20,4.17
22.00,275,-23,50.20,4.17
22.05,274,-23,50.20,4.17
22.10,274,-23,50.20,4.17
22.15,273,-23,50.20,4.17
22.20,271,-23,50.20,4.17
22.25,270,-23,50.20,4.17
22.30,268,-22,50.20,4.17
22.35,267,-22,50.20,4.17
22.40,267,-22,50.20,4.17
22.45,267,-22,50.20,4.17
22.50,264,-22,50.20,4.17
22.55,263,-22,50.22,4.17
22.60,262,-22,50.20,4.17
22.65,261,-22,50.20,4.17
